NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_DEPENDENCIA;NO_CATEGORIA;ED_BAS_CAT1;ED_BAS_CAT2;ED_BAS_CAT3;ED_BAS_CAT4;ED_BAS_CAT5;ED_BAS_CAT6;ED_BAS_CAT7;ED_BAS_CAT8;ED_BAS_CAT9
2021;Sudeste;SP;3504701;Balbinos;Municipal;Sem Superior;1;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3504800;Bálsamo;Municipal;Total;49;98,0;2.853,80;2.871,78;3.135,62;3.578,57;451,28;30,2;4.151,99
2021;Sudeste;SP;3504800;Bálsamo;Municipal;Superior;48;97,9;2.853,80;2.876,33;3.150,74;3.606,17;443,86;30,2;4.171,40
2021;Sudeste;SP;3504800;Bálsamo;Municipal;Sem Superior;1;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3504909;Bananal;Municipal;Total;98;96,9;2.213,22;2.557,84;2.544,07;2.882,66;427,17;27,4;3.713,85
2021;Sudeste;SP;3504909;Bananal;Municipal;Superior;92;96,7;2.205,46;2.557,84;2.539,56;2.885,62;435,56;27,2;3.729,52
2021;Sudeste;SP;3504909;Bananal;Municipal;Sem Superior;6;100,0;2.458,20;2.594,68;2.615,70;2.860,63;248,62;30,0;3.487,60
2021;Sudeste;SP;3505005;Barão de Antonina;Municipal;Total;24;100,0;2.817,07;3.494,81;3.450,37;4.193,28;714,07;28,5;4.850,35
2021;Sudeste;SP;3505005;Barão de Antonina;Municipal;Superior;24;100,0;2.817,07;3.494,81;3.450,37;4.193,28;714,07;28,5;4.850,35
2021;Sudeste;SP;3505104;Barbosa;Municipal;Total;53;100,0;1.713,97;2.541,75;2.419,07;2.979,30;710,83;28,2;3.427,06
2021;Sudeste;SP;3505104;Barbosa;Municipal;Superior;51;100,0;1.729,79;2.581,01;2.459,55;2.979,30;689,31;28,1;3.495,51
2021;Sudeste;SP;3505104;Barbosa;Municipal;Sem Superior;2;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3505203;Bariri;Municipal;Total;207;100,0;3.451,66;4.175,47;4.490,18;5.281,46;1.557,75;28,7;6.265,26
2021;Sudeste;SP;3505203;Bariri;Municipal;Superior;190;100,0;3.541,52;4.175,47;4.507,55;5.296,11;1.555,25;28,8;6.263,86
2021;Sudeste;SP;3505203;Bariri;Municipal;Sem Superior;17;100,0;2.924,83;3.463,88;4.243,35;5.063,93;1.572,13;27,0;6.286,44
2021;Sudeste;SP;3505302;Barra Bonita;Municipal;Total;147;84,4;2.523,04;2.699,05;3.217,32;3.927,26;1.060,30;26,9;4.782,39
2021;Sudeste;SP;3505302;Barra Bonita;Municipal;Superior;140;84,3;2.538,45;2.718,21;3.238,55;3.927,26;1.065,28;27,1;4.787,14
2021;Sudeste;SP;3505302;Barra Bonita;Municipal;Sem Superior;7;85,7;2.402,99;2.491,80;2.807,48;2.563,70;862,20;24,0;4.679,13
2021;Sudeste;SP;3505351;Barra do Chapéu;Municipal;Total;44;97,7;2.068,39;2.380,72;2.566,33;3.135,90;735,59;31,6;3.245,02
2021;Sudeste;SP;3505351;Barra do Chapéu;Municipal;Superior;42;97,6;2.068,39;2.380,72;2.583,96;3.071,68;717,60;31,5;3.286,34
2021;Sudeste;SP;3505351;Barra do Chapéu;Municipal;Sem Superior;2;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3505401;Barra do Turvo;Municipal;Total;45;100,0;2.257,76;2.310,14;2.329,44;2.370,82;127,16;30,0;3.105,93
2021;Sudeste;SP;3505401;Barra do Turvo;Municipal;Superior;40;100,0;2.274,77;2.310,14;2.339,01;2.379,43;127,82;30,0;3.118,69
2021;Sudeste;SP;3505401;Barra do Turvo;Municipal;Sem Superior;5;100,0;2.207,84;2.222,29;2.247,14;2.262,82;84,56;30,0;2.996,19
2021;Sudeste;SP;3505500;Barretos;Municipal;Total;507;89,7;1.967,31;3.084,61;3.367,88;4.644,61;1.729,09;30,8;4.376,28
2021;Sudeste;SP;3505500;Barretos;Municipal;Superior;492;90,0;2.015,11;3.104,89;3.392,67;4.671,70;1.737,26;30,7;4.413,38
2021;Sudeste;SP;3505500;Barretos;Municipal;Sem Superior;15;80,0;1.393,30;2.937,72;2.372,97;2.938,98;916,09;32,2;2.952,02
