NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_TX_DIST_IDADE_SERIE_TOTAL;MED_TX_DIST_IDADE_SERIE_TOTAL
2021;Norte;RO;1100346;Alvorada D'Oeste;Rural;Pública;16.3;--
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Total;Total;18.7;28.9
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Urbana;Total;14.2;28.9
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Rural;Total;23.3;--
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Total;Estadual;16.1;28.9
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Urbana;Estadual;15.8;28.9
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Rural;Estadual;33.3;--
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Total;Municipal;19;--
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Urbana;Municipal;13.7;--
2021;Norte;RO;1100379;Alto Alegre dos Parecis;Rural;Municipal;23.3;--
