NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_CAT_1;FUN_CAT_2;FUN_CAT_3;FUN_CAT_4;FUN_CAT_5;FUN_CAT_6;FUN_AI_CAT_1;FUN_AI_CAT_2;FUN_AI_CAT_3;FUN_AI_CAT_4;FUN_AI_CAT_5;FUN_AI_CAT_6;FUN_AF_CAT_1;FUN_AF_CAT_2;FUN_AF_CAT_3;FUN_AF_CAT_4;FUN_AF_CAT_5;FUN_AF_CAT_6;MED_CAT_1;MED_CAT_2;MED_CAT_3;MED_CAT_4;MED_CAT_5;MED_CAT_6
2021;Sudeste;SP;3500709;Agudos;Urbana;Total;20,8;14,8;28,0;30,1;5,7;0,6;39,3;20,2;16,8;19,1;4,0;0,6;0,6;8,3;38,1;42,3;10,1;0,6;1,1;4,4;34,4;46,3;11,9;1,9
2021;Sudeste;SP;3500709;Agudos;Total;Estadual;0,7;10,2;38,3;42,2;8,6;0,0;--;--;--;--;--;--;0,7;10,2;38,3;42,2;8,6;0,0;1,8;3,6;35,7;45,5;12,5;0,9
2021;Sudeste;SP;3500709;Agudos;Urbana;Estadual;0,7;10,2;38,3;42,2;8,6;0,0;--;--;--;--;--;--;0,7;10,2;38,3;42,2;8,6;0,0;1,8;3,6;35,7;45,5;12,5;0,9
2021;Sudeste;SP;3500709;Agudos;Total;Municipal;42,0;18,7;17,4;18,1;3,2;0,6;42,0;18,7;17,4;18,1;3,2;0,6;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500709;Agudos;Urbana;Municipal;42,0;18,7;17,4;18,1;3,2;0,6;42,0;18,7;17,4;18,1;3,2;0,6;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500709;Agudos;Total;Privada;4,4;10,3;33,8;41,2;8,8;1,5;10,8;21,4;28,6;32,1;7,1;0,0;0,0;2,3;34,1;47,7;13,6;2,3;0,0;5,8;28,8;48,1;13,5;3,8
2021;Sudeste;SP;3500709;Agudos;Urbana;Privada;4,4;10,3;33,8;41,2;8,8;1,5;10,8;21,4;28,6;32,1;7,1;0,0;0,0;2,3;34,1;47,7;13,6;2,3;0,0;5,8;28,8;48,1;13,5;3,8
2021;Sudeste;SP;3500709;Agudos;Total;Pública;23,7;15,1;27,3;28,8;4,7;0,4;42,0;18,7;17,4;18,1;3,2;0,6;0,7;10,2;38,3;42,2;8,6;0,0;1,8;3,6;35,7;45,5;12,5;0,9
2021;Sudeste;SP;3500709;Agudos;Urbana;Pública;23,7;15,1;27,3;28,8;4,7;0,4;42,0;18,7;17,4;18,1;3,2;0,6;0,7;10,2;38,3;42,2;8,6;0,0;1,8;3,6;35,7;45,5;12,5;0,9
2021;Sudeste;SP;3500758;Alambari;Total;Total;25,0;3,3;18,3;45,0;6,7;1,7;50,0;0,0;8,3;37,5;4,2;0,0;8,2;5,4;24,3;48,6;10,8;2,7;0,0;3,6;21,4;60,7;10,7;3,6
2021;Sudeste;SP;3500758;Alambari;Urbana;Total;17,4;3,8;17,3;51,9;7,7;1,9;44,4;0,0;0,0;50,0;5,6;0,0;2,9;5,7;25,7;51,4;11,4;2,9;0,0;3,6;21,4;60,7;10,7;3,6
2021;Sudeste;SP;3500758;Alambari;Rural;Total;66,7;0,0;22,2;0,0;11,1;0,0;57,1;0,0;28,6;0,0;14,3;0,0;66,7;0,0;0,0;0,0;33,3;0,0;--;--;--;--;--;--
2021;Sudeste;SP;3500758;Alambari;Total;Estadual;0,0;6,1;27,3;54,5;9,1;3,0;--;--;--;--;--;--;0,0;6,1;27,3;54,5;9,1;3,0;0,0;3,6;21,4;60,7;10,7;3,6
2021;Sudeste;SP;3500758;Alambari;Urbana;Estadual;0,0;6,1;27,3;54,5;9,1;3,0;--;--;--;--;--;--;0,0;6,1;27,3;54,5;9,1;3,0;0,0;3,6;21,4;60,7;10,7;3,6
2021;Sudeste;SP;3500758;Alambari;Total;Municipal;55,6;0,0;7,4;33,3;3,7;0,0;50,0;0,0;8,3;37,5;4,2;0,0;75,0;0,0;0,0;0,0;25,0;0,0;--;--;--;--;--;--
