NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;EDU_BAS_CAT_1;EDU_BAS_CAT_2;EDU_BAS_CAT_3;EDU_BAS_CAT_4
2021;Sudeste;SP;3502002;Analândia;Urbana;Pública;33,3;0,0;33,3;33,4
2021;Sudeste;SP;3502101;Andradina;Total;Total;12,5;35,4;43,8;8,3
2021;Sudeste;SP;3502101;Andradina;Urbana;Total;7,0;39,5;46,5;7,0
2021;Sudeste;SP;3502101;Andradina;Rural;Total;60,0;0,0;20,0;20,0
2021;Sudeste;SP;3502101;Andradina;Total;Estadual;12,5;37,5;37,5;12,5
2021;Sudeste;SP;3502101;Andradina;Urbana;Estadual;0,0;60,0;40,0;0,0
2021;Sudeste;SP;3502101;Andradina;Rural;Estadual;33,3;0,0;33,3;33,4
2021;Sudeste;SP;3502101;Andradina;Total;Municipal;17,9;46,4;35,7;0,0
2021;Sudeste;SP;3502101;Andradina;Urbana;Municipal;11,5;50,0;38,5;0,0
2021;Sudeste;SP;3502101;Andradina;Rural;Municipal;100,0;0,0;0,0;0,0
2021;Sudeste;SP;3502101;Andradina;Total;Privada;0,0;8,3;66,7;25,0
2021;Sudeste;SP;3502101;Andradina;Urbana;Privada;0,0;8,3;66,7;25,0
2021;Sudeste;SP;3502101;Andradina;Total;Pública;16,7;44,4;36,1;2,8
2021;Sudeste;SP;3502101;Andradina;Urbana;Pública;9,7;51,6;38,7;0,0
2021;Sudeste;SP;3502101;Andradina;Rural;Pública;60,0;0,0;20,0;20,0
2021;Sudeste;SP;3502200;Angatuba;Total;Total;14,3;50,0;28,6;7,1
2021;Sudeste;SP;3502200;Angatuba;Urbana;Total;0,0;55,6;33,3;11,1
2021;Sudeste;SP;3502200;Angatuba;Rural;Total;40,0;40,0;20,0;0,0
2021;Sudeste;SP;3502200;Angatuba;Total;Estadual;0,0;66,7;33,3;0,0
2021;Sudeste;SP;3502200;Angatuba;Urbana;Estadual;0,0;66,7;33,3;0,0
2021;Sudeste;SP;3502200;Angatuba;Total;Municipal;22,2;55,6;22,2;0,0
2021;Sudeste;SP;3502200;Angatuba;Urbana;Municipal;0,0;75,0;25,0;0,0
2021;Sudeste;SP;3502200;Angatuba;Rural;Municipal;40,0;40,0;20,0;0,0
2021;Sudeste;SP;3502200;Angatuba;Total;Privada;0,0;0,0;50,0;50,0
2021;Sudeste;SP;3502200;Angatuba;Urbana;Privada;0,0;0,0;50,0;50,0
2021;Sudeste;SP;3502200;Angatuba;Total;Pública;16,7;58,3;25,0;0,0
2021;Sudeste;SP;3502200;Angatuba;Urbana;Pública;0,0;71,4;28,6;0,0
2021;Sudeste;SP;3502200;Angatuba;Rural;Pública;40,0;40,0;20,0;0,0
2021;Sudeste;SP;3502309;Anhembi;Total;Total;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3502309;Anhembi;Urbana;Total;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3502309;Anhembi;Total;Estadual;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3502309;Anhembi;Urbana;Estadual;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3502309;Anhembi;Total;Municipal;0,0;40,0;60,0;0,0
2021;Sudeste;SP;3502309;Anhembi;Urbana;Municipal;0,0;40,0;60,0;0,0
2021;Sudeste;SP;3502309;Anhembi;Total;Pública;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3502309;Anhembi;Urbana;Pública;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3502408;Anhumas;Total;Total;25,0;50,0;25,0;0,0
2021;Sudeste;SP;3502408;Anhumas;Urbana;Total;25,0;50,0;25,0;0,0
2021;Sudeste;SP;3502408;Anhumas;Total;Estadual;100,0;0,0;0,0;0,0
2021;Sudeste;SP;3502408;Anhumas;Urbana;Estadual;100,0;0,0;0,0;0,0
2021;Sudeste;SP;3502408;Anhumas;Total;Municipal;0,0;66,7;33,3;0,0
2021;Sudeste;SP;3502408;Anhumas;Urbana;Municipal;0,0;66,7;33,3;0,0
2021;Sudeste;SP;3502408;Anhumas;Total;Pública;25,0;50,0;25,0;0,0
