NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_CAT_0;FUN_CAT_0;MED_CAT_0
2021;Sudeste;SP;3502408;Anhumas;Urbana;Pública;20,1;23,7;24,8
2021;Sudeste;SP;3502507;Aparecida;Total;Total;16,2;21,3;29,8
2021;Sudeste;SP;3502507;Aparecida;Urbana;Total;16,2;21,3;29,8
2021;Sudeste;SP;3502507;Aparecida;Total;Estadual;--;--;31,7
2021;Sudeste;SP;3502507;Aparecida;Urbana;Estadual;--;--;31,7
2021;Sudeste;SP;3502507;Aparecida;Total;Municipal;16,8;22,0;--
2021;Sudeste;SP;3502507;Aparecida;Urbana;Municipal;16,8;22,0;--
2021;Sudeste;SP;3502507;Aparecida;Total;Privada;11,7;16,4;8,7
2021;Sudeste;SP;3502507;Aparecida;Urbana;Privada;11,7;16,4;8,7
2021;Sudeste;SP;3502507;Aparecida;Total;Pública;16,8;22,0;31,7
2021;Sudeste;SP;3502507;Aparecida;Urbana;Pública;16,8;22,0;31,7
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Total;Total;12,0;19,0;22,3
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Urbana;Total;12,0;19,0;22,3
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Total;Estadual;--;22,5;22,3
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Urbana;Estadual;--;22,5;22,3
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Total;Municipal;12,0;16,9;--
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Urbana;Municipal;12,0;16,9;--
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Total;Pública;12,0;19,0;22,3
2021;Sudeste;SP;3502606;Aparecida d'Oeste;Urbana;Pública;12,0;19,0;22,3
2021;Sudeste;SP;3502705;Apiaí;Total;Total;14,4;22,9;26,9
2021;Sudeste;SP;3502705;Apiaí;Urbana;Total;15,4;24,4;27,4
2021;Sudeste;SP;3502705;Apiaí;Rural;Total;12,4;19,5;25,4
2021;Sudeste;SP;3502705;Apiaí;Total;Estadual;--;23,3;27,7
2021;Sudeste;SP;3502705;Apiaí;Urbana;Estadual;--;25,2;28,5
2021;Sudeste;SP;3502705;Apiaí;Rural;Estadual;--;20,3;25,4
2021;Sudeste;SP;3502705;Apiaí;Total;Municipal;14,4;22,8;--
2021;Sudeste;SP;3502705;Apiaí;Urbana;Municipal;15,6;24,4;--
2021;Sudeste;SP;3502705;Apiaí;Rural;Municipal;12,4;15,5;--
2021;Sudeste;SP;3502705;Apiaí;Total;Privada;12,0;19,3;17,7
2021;Sudeste;SP;3502705;Apiaí;Urbana;Privada;12,0;19,3;17,7
2021;Sudeste;SP;3502705;Apiaí;Total;Pública;14,4;23,1;27,7
2021;Sudeste;SP;3502705;Apiaí;Urbana;Pública;15,6;24,9;28,5
2021;Sudeste;SP;3502705;Apiaí;Rural;Pública;12,4;19,5;25,4
2021;Sudeste;SP;3502754;Araçariguama;Total;Total;13,7;20,4;35,8
2021;Sudeste;SP;3502754;Araçariguama;Urbana;Total;13,9;22,7;35,8
2021;Sudeste;SP;3502754;Araçariguama;Rural;Total;13,2;14,2;--
2021;Sudeste;SP;3502754;Araçariguama;Total;Estadual;--;--;35,8
2021;Sudeste;SP;3502754;Araçariguama;Urbana;Estadual;--;--;35,8
